計算,名稱,"位置 X","位置 Y",內容,"文字位置 X","文字位置 Y","中心 X","中心 Y","開始 X","開始 Y","終結 X","終結 Y"
1,多行文字,-263199.467,-201516.8957,26,,,,,,,,
1,多行文字,-263849.467,-201516.8957,25,,,,,,,,
1,文字,-262870.6819,-201168.7443,X27,,,,,,,,
1,聚合線,,,,,,,,,,,
1,文字,-263350.6819,-201168.7443,X26,,,,,,,,
1,聚合線,,,,,,,,,,,
1,文字,-264000.6819,-201168.7443,X25,,,,,,,,
1,聚合線,,,,,,,,,,,
1,旋轉標註,,,,-263624.7651,-201165.7858,,,,,,
1,旋轉標註,,,,-262549.7651,-201165.6844,,,,,,
1,旋轉標註,,,,-263059.7651,-201165.6844,,,,,,
1,多行文字,-264449.467,-201516.8957,24,,,,,,,,
1,多行文字,-265669.467,-201516.8957,22,,,,,,,,
1,多行文字,-266209.467,-201516.8957,21,,,,,,,,
1,多行文字,-266709.467,-201516.8957,20,,,,,,,,
1,文字,-264600.6819,-201168.7443,X24,,,,,,,,
1,聚合線,,,,,,,,,,,
1,文字,-265170.6819,-201168.3249,X23,,,,,,,,
1,聚合線,,,,,,,,,,,
1,文字,-265820.6819,-201168.7443,X22,,,,,,,,
1,聚合線,,,,,,,,,,,
1,文字,-266360.6819,-201168.7443,X21,,,,,,,,
1,聚合線,,,,,,,,,,,
1,文字,-266860.6819,-201168.7443,X20,,,,,,,,
1,聚合線,,,,,,,,,,,
1,旋轉標註,,,,-264834.7651,-201165.6844,,,,,,
1,旋轉標註,,,,-265444.7651,-201165.6844,,,,,,
1,旋轉標註,,,,-266039.7651,-201165.6844,,,,,,
1,旋轉標註,,,,-266559.7651,-201165.6844,,,,,,
1,旋轉標註,,,,-264249.7651,-201165.6844,,,,,,
1,多行文字,-268169.467,-201516.8957,17,,,,,,,,
1,多行文字,-267309.467,-201516.8957,19,,,,,,,,
1,多行文字,-267569.467,-201516.8957,18,,,,,,,,
1,文字,-267460.6819,-201168.7443,X19,,,,,,,,
1,聚合線,,,,,,,,,,,
1,文字,-267720.6819,-201168.7443,X18,,,,,,,,
1,聚合線,,,,,,,,,,,
1,文字,-268320.6819,-201168.3249,X17,,,,,,,,
1,聚合線,,,,,,,,,,,
1,旋轉標註,,,,-267539.7651,-201165.6719,,,,,,
1,旋轉標註,,,,-267969.7651,-201165.6844,,,,,,
1,多行文字,-268899.467,-201516.8957,15,,,,,,,,
1,多行文字,-269369.467,-201516.8957,14,,,,,,,,
1,文字,-268620.6819,-201168.7443,X16,,,,,,,,
1,聚合線,,,,,,,,,,,
1,文字,-269100.6819,-201168.7443,X15,,,,,,,,
1,聚合線,,,,,,,,,,,
1,文字,-269520.6819,-201168.7443,X14,,,,,,,,
1,聚合線,,,,,,,,,,,
1,旋轉標註,,,,-268809.7651,-201165.6844,,,,,,
1,旋轉標註,,,,-269259.7651,-201165.6719,,,,,,
1,多行文字,-268469.467,-201516.8957,16,,,,,,,,
1,旋轉標註,,,,-268419.7651,-201165.6719,,,,,,
1,多行文字,-271979.467,-201516.8957,9,,,,,,,,
1,多行文字,-269969.467,-201516.8957,13,,,,,,,,
1,多行文字,-270509.467,-201516.8957,12,,,,,,,,
1,多行文字,-271109.467,-201516.8957,11,,,,,,,,
1,多行文字,-271709.467,-201516.8957,10,,,,,,,,
1,文字,-270120.6819,-201168.7443,X13,,,,,,,,
1,聚合線,,,,,,,,,,,
1,文字,-270660.6819,-201168.7443,X12,,,,,,,,
1,聚合線,,,,,,,,,,,
1,文字,-271260.6819,-201168.7443,X11,,,,,,,,
1,聚合線,,,,,,,,,,,
1,文字,-271860.6819,-201166.6539,X10,,,,,,,,
1,聚合線,,,,,,,,,,,
1,文字,-272113.7096,-201167.6991,X9,,,,,,,,
1,聚合線,,,,,,,,,,,
1,旋轉標註,,,,-270339.7651,-201165.6844,,,,,,
1,旋轉標註,,,,-270909.7651,-201165.6844,,,,,,
1,旋轉標註,,,,-271509.7651,-201165.6844,,,,,,
1,旋轉標註,,,,-271944.7651,-201165.6719,,,,,,
1,旋轉標註,,,,-269769.7651,-201165.6844,,,,,,
1,旋轉標註,,,,-267109.7651,-201165.6844,,,,,,
1,多行文字,-262719.467,-202766.8957,91,,,,,,,,
1,多行文字,-262719.467,-201696.8957,27,,,,,,,,
1,多行文字,-262719.467,-202166.8957,57,,,,,,,,
1,文字,-261942.7131,-202903.4237,Y3,,,,,,,,
1,聚合線,,,,,,,,,,,
1,文字,-261942.7131,-202303.4237,Y2,,,,,,,,
1,聚合線,,,,,,,,,,,
1,圓,,,,,,-262819.7651,-202880.491,,,,
1,圓,,,,,,-262819.7651,-202280.491,,,,
1,HH3,-262819.7651,-202880.491,,,,,,,,,
1,HH3,-262819.7651,-201810.491,,,,,,,,,
1,HH3,-262819.7651,-202280.491,,,,,,,,,
1,旋轉標註,,,,-262055.1664,-201955.491,,,,,,
1,旋轉標註,,,,-262055.1664,-202580.491,,,,,,
1,多行文字,-262719.467,-204166.8957,158,,,,,,,,
1,多行文字,-262719.467,-203566.8957,137,,,,,,,,
1,多行文字,-262719.467,-203236.8957,114,,,,,,,,
1,文字,-261951.1992,-204295.3803,R-Y6,,,,,,,,
1,文字,-261951.1992,-203695.3803,R-Y5,,,,,,,,
1,文字,-261951.1992,-203364.4237,R-Y4,,,,,,,,
1,聚合線,,,,,,,,,,,
1,聚合線,,,,,,,,,,,
1,旋轉標註,,,,-262055.1664,-203980.491,,,,,,
1,圓,,,,,,-262819.7651,-203350.491,,,,
1,圓,,,,,,-262819.7651,-203680.491,,,,
1,HH3,-262819.7651,-204280.491,,,,,,,,,
1,HH3,-262819.7651,-203680.491,,,,,,,,,
1,HH3,-262819.7651,-203350.491,,,,,,,,,
1,旋轉標註,,,,-262055.1789,-203515.491,,,,,,
1,旋轉標註,,,,-262055.1664,-203115.491,,,,,,
1,多行文字,-263849.467,-202016.8957,54,,,,,,,,
1,多行文字,-263449.467,-202766.8957,89,,,,,,,,
1,多行文字,-263449.467,-202166.8957,55,,,,,,,,
1,多行文字,-263199.467,-202766.8957,90,,,,,,,,
1,多行文字,-263199.467,-202166.8957,56,,,,,,,,
1,多行文字,-263849.467,-202646.8957,88,,,,,,,,
1,圓,,,,,,-263949.7651,-202130.491,,,,
1,圓,,,,,,-263949.7651,-202760.491,,,,
1,圓,,,,,,-263299.7651,-202880.491,,,,
1,圓,,,,,,-263299.7651,-202280.491,,,,
1,圓,,,,,,-263549.7651,-202880.491,,,,
1,圓,,,,,,-263549.7651,-202280.491,,,,
1,HH3,-263949.7651,-202130.491,,,,,,,,,
1,HH3,-263549.7651,-202880.491,,,,,,,,,
1,HH3,-263549.7651,-202280.491,,,,,,,,,
1,HH3,-263299.7651,-202880.491,,,,,,,,,
1,HH3,-263299.7651,-201630.491,,,,,,,,,
1,HH3,-263299.7651,-202280.491,,,,,,,,,
1,HH3,-263949.7651,-202760.491,,,,,,,,,
1,HH3,-263949.7651,-201630.491,,,,,,,,,
1,多行文字,-263449.467,-203566.8957,135,,,,,,,,
1,多行文字,-263449.467,-203236.8957,112,,,,,,,,
1,多行文字,-263199.467,-204166.8957,157,,,,,,,,
1,多行文字,-263199.467,-203566.8957,136,,,,,,,,
1,多行文字,-263199.467,-203236.8957,113,,,,,,,,
1,圓,,,,,,-263299.7651,-203350.491,,,,
1,圓,,,,,,-263299.7651,-203680.491,,,,
1,圓,,,,,,-263549.7651,-203350.491,,,,
1,圓,,,,,,-263549.7651,-203680.491,,,,
1,HH3,-263549.7651,-203680.491,,,,,,,,,
1,HH3,-263549.7651,-203350.491,,,,,,,,,
1,HH3,-263299.7651,-204280.491,,,,,,,,,
1,HH3,-263299.7651,-203680.491,,,,,,,,,
1,HH3,-263299.7651,-203350.491,,,,,,,,,
1,多行文字,-263849.467,-204166.8957,156,,,,,,,,
1,多行文字,-263849.467,-203566.8957,134,,,,,,,,
1,多行文字,-263849.467,-203116.8957,111,,,,,,,,
1,圓,,,,,,-263949.7651,-203680.491,,,,
1,圓,,,,,,-263949.7651,-203230.491,,,,
1,HH3,-263949.7651,-204280.491,,,,,,,,,
1,HH3,-263949.7651,-203680.491,,,,,,,,,
1,HH3,-263949.7651,-203230.491,,,,,,,,,
1,多行文字,-262719.467,-205446.8957,217,,,,,,,,
1,多行文字,-262719.467,-204846.8957,195,,,,,,,,
1,多行文字,-262719.467,-204616.8957,174,,,,,,,,
1,文字,-261951.1992,-205575.3803,R-Y9,,,,,,,,
1,文字,-261951.1992,-204975.3803,R-Y8,,,,,,,,
1,文字,-261951.1992,-204625.3803,R-Y7,,,,,,,,
1,遮蔽,-261961.8515,-205013.6788,,,,,,,,,
1,遮蔽,-261961.8515,-204663.6788,,,,,,,,,
1,聚合線,,,,,,,,,,,
1,旋轉標註,,,,-262055.1789,-204785.491,,,,,,
1,旋轉標註,,,,-262055.1664,-205260.491,,,,,,
1,HH3,-262819.7651,-205560.491,,,,,,,,,
1,HH3,-262819.7651,-204960.491,,,,,,,,,
1,HH3,-262819.7651,-204730.491,,,,,,,,,
1,多行文字,-262719.467,-206346.8957,253,,,,,,,,
1,多行文字,-262719.467,-206026.8957,235,,,,,,,,
1,文字,-261961.8069,-206475.3803,R-Y11,,,,,,,,
1,文字,-261961.8069,-206155.3803,R-Y10,,,,,,,,
1,聚合線,,,,,,,,,,,
1,聚合線,,,,,,,,,,,
1,旋轉標註,,,,-262055.1789,-206300.491,,,,,,
1,圓,,,,,,-262819.7651,-206460.491,,,,
1,圓,,,,,,-262819.7651,-206140.491,,,,
1,HH3,-262819.7651,-206460.491,,,,,,,,,
1,HH3,-262819.7651,-206140.491,,,,,,,,,
1,旋轉標註,,,,-262055.1664,-205850.491,,,,,,
1,多行文字,-263199.467,-205446.8957,216,,,,,,,,
1,多行文字,-263849.467,-205446.8957,215,,,,,,,,
1,多行文字,-263199.467,-204846.8957,194,,,,,,,,
1,多行文字,-263849.467,-204846.8957,193,,,,,,,,
1,多行文字,-263199.467,-204496.8957,173,,,,,,,,
1,多行文字,-263849.467,-204496.8957,172,,,,,,,,
1,圓,,,,,,-263949.7651,-205560.491,,,,
1,圓,,,,,,-263949.7651,-204960.491,,,,
1,圓,,,,,,-263949.7651,-204610.491,,,,
1,HH3,-263299.7651,-205560.491,,,,,,,,,
1,HH3,-263949.7651,-205560.491,,,,,,,,,
1,HH3,-263299.7651,-204960.491,,,,,,,,,
1,HH3,-263949.7651,-204960.491,,,,,,,,,
1,HH3,-263299.7651,-204610.491,,,,,,,,,
1,HH3,-263949.7651,-204610.491,,,,,,,,,
1,多行文字,-263499.467,-206346.8957,251,,,,,,,,
1,多行文字,-263499.467,-206026.8957,233,,,,,,,,
1,多行文字,-263199.467,-206346.8957,252,,,,,,,,
1,多行文字,-263849.467,-206346.8957,250,,,,,,,,
1,多行文字,-263199.467,-206026.8957,234,,,,,,,,
1,多行文字,-263849.467,-206026.8957,232,,,,,,,,
1,圓,,,,,,-263299.7651,-206460.491,,,,
1,圓,,,,,,-263599.7651,-206460.491,,,,
1,圓,,,,,,-263949.7651,-206460.491,,,,
1,圓,,,,,,-263299.7651,-206140.491,,,,
1,圓,,,,,,-263599.7651,-206140.491,,,,
1,圓,,,,,,-263949.7651,-206140.491,,,,
1,HH3,-263599.7651,-206460.491,,,,,,,,,
1,HH3,-263599.7651,-206140.491,,,,,,,,,
1,HH3,-263299.7651,-206460.491,,,,,,,,,
